smallRNA	11474.0-2hr_Embryo.high	11473.0-2hr_Embryo.low	11472.NBF-Ovary.high	11471.NBF-Ovary.low	11431.72hr_PBM-Ovary.low	11430.72hr_PBM-Ovary.high	11429.24hr_PBM-Ovary.low	11428.24hr_PBM-Ovary.high	12093.Male_Carcass	12092.Male_Testes	11524.72hr_PBM_Female_Carcass	11476.2-4hr_Embryo.high	11475.2-4hr_Embryo.low	11427.48hr_PBM-Ovary.low	11426.48hr_PBM-Ovary.high	aae_smallRNA_family	Ago2nm
aae-miR-957	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	1093.36978849638	133.65971169911	2650.19728247293	14.3893173707839	19.9189795506776	8.81772009029345	9.59821857063329	aae-miR-957	aae-miR-957
aae-miR-965	34.5208505937586	70.9899549213786	18.6421087953469	31.6015674377449	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	25.6592649190807	32.6378365776897	10.6783476549646	14.3893173707839	24.898724438347	8.81772009029345	9.59821857063329	aae-miR-965	aae-miR-965
aae-miR-970	34.5208505937586	390.444752067582	18.6421087953469	79.0039185943623	40.5959485243373	22.2148172831278	16.4883180266781	25.7473158423234	879.898959516808	500.446827524576	71.3763237989739	158.282491078623	278.865713709487	8.81772009029345	9.59821857063329	aae-miR-970	aae-miR-970
aae-miR-980-3p	34.5208505937586	3514.00276860824	18.6421087953469	94.8047023132347	40.5959485243373	22.2148172831278	16.4883180266781	38.6209737634852	2724.69319359488	4319.07370711427	5327.65245238089	633.129964314493	9100.48378221584	61.7240406320542	9.59821857063329	aae-miR-980-3p	aae-miR-980-3p
aae-miR-981	34.5208505937586	35.4949774606893	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	55.9514526707731	13.9876442475813	238.576767343814	14.3893173707839	14.9392346630082	8.81772009029345	9.59821857063329	aae-miR-981	aae-miR-981
aae-miR-988-3p	34.5208505937586	141.979909842757	18.6421087953469	15.8007837188725	40.5959485243373	22.2148172831278	16.4883180266781	12.8736579211617	145.58069054784	127.442980922407	240.824840534333	14.3893173707839	124.493622191735	8.81772009029345	9.59821857063329	aae-miR-988-3p	aae-miR-988-3p
aae-miR-988-5p	34.5208505937586	35.4949774606893	18.6421087953469	79.0039185943623	40.5959485243373	22.2148172831278	16.4883180266781	25.7473158423234	129.187271293982	268.873606092396	708.424064162257	330.95429952803	530.342830536792	44.0886004514673	9.59821857063329	aae-miR-988-5p	aae-miR-988-5p
aae-miR-989	207.125103562552	2981.5781066979	484.69482867902	73868.6638857287	36495.7577233792	7975.1194046429	2423.78274992168	37887.1752619789	57.7333460679315	19107.1220421961	1029.89853040645	60061.0107056521	45689.1593443668	3676.98927765237	76.7857485650663	aae-miR-989	aae-miR-989
aae-miR-989-novel-a	1001.104667219	319.454797146204	242.34741433951	63.2031348754898	40.5959485243373	22.2148172831278	181.371498293459	77.2419475269703	0.712757358863352	15.541826941757	1.40504574407429	1208.70265914585	4.9797448876694	44.0886004514673	105.580404276966	aae-miR-989	aae-miR-989
aae-miR-996	34.5208505937586	12210.2722464771	18.6421087953469	363.418025534066	40.5959485243373	22.2148172831278	16.4883180266781	308.967790107881	1917.67367402185	5436.5310642266	315.573274119086	5050.65039714516	190940.848100352	246.896162528217	28.7946557118999	aae-miR-996	aae-miR-996
