aegypti_Ago2_non3UTRtop.geneId	aegypti_Ago2_non3UTRtop.transcriptId
AAEL009722	AAEL009722-RA
AAEL009719	AAEL009719-RC
AAEL016982	AAEL016982-RC
AAEL001005	AAEL001005-RA
AAEL018816	AAEL018816-RA
AAEL020286	AAEL020286-RA
AAEL001009	AAEL001009-RB
AAEL023811	AAEL023811-RA
AAEL025088	AAEL025088-RA
AAEL027252	AAEL027252-RA
AAEL026992	AAEL026992-RA
AAEL000997	AAEL000997-RB
AAEL025290	AAEL025290-RA
AAEL021176	AAEL021176-RA
AAEL019505	AAEL019505-RA
AAEL020236	AAEL020236-RA
AAEL007078	AAEL007078-RA
AAEL020431	AAEL020431-RA
AAEL014408	AAEL014408-RC
AAEL012437	AAEL012437-RB
AAEL012447	AAEL012447-RB
AAEL021288	AAEL021288-RA
AAEL012446	AAEL012446-RB
AAEL023148	AAEL023148-RA
AAEL026565	AAEL026565-RA
AAEL019433	AAEL019433-RA
AAEL010884	AAEL010884-RB
AAEL023907	AAEL023907-RA
AAEL023582	AAEL023582-RA
AAEL027988	AAEL027988-RA
AAEL015533	AAEL015533-RA
AAEL016682	AAEL016682-RA
AAEL013723	AAEL013723-RL
AAEL013724	AAEL013724-RB
AAEL024449	AAEL024449-RA
AAEL019700	AAEL019700-RG
AAEL012864	AAEL012864-RA
AAEL016705	AAEL016705-RA
AAEL009644	AAEL009644-RB
AAEL024497	AAEL024497-RA
AAEL011253	AAEL011253-RC
AAEL028969	AAEL028969-RA
AAEL028977	AAEL028977-RA
AAEL018215	AAEL018215-RI
AAEL005832	AAEL005832-RA
AAEL011255	AAEL011255-RA
AAEL007248	AAEL007248-RB
AAEL006191	AAEL006191-RC
AAEL015458	AAEL015458-RA
AAEL019752	AAEL019752-RA
AAEL005839	AAEL005839-RA
AAEL002539	AAEL002539-RB
AAEL002551	AAEL002551-RB
AAEL002565	AAEL002565-RB
AAEL002571	AAEL002571-RD
AAEL002557	AAEL002557-RG
AAEL002572	AAEL002572-RA
AAEL003491	AAEL003491-RC
AAEL003503	AAEL003503-RA
AAEL012964	AAEL012964-RE
AAEL002764	AAEL002764-RD
AAEL027106	AAEL027106-RA
AAEL026203	AAEL026203-RA
AAEL021162	AAEL021162-RA
AAEL002769	AAEL002769-RD
AAEL019990	AAEL019990-RA
AAEL009114	AAEL009114-RI
AAEL009110	AAEL009110-RB
AAEL025611	AAEL025611-RA
AAEL008334	AAEL008334-RK
AAEL008334	AAEL008334-RH
AAEL004398	AAEL004398-RB
AAEL027273	AAEL027273-RA
AAEL004389	AAEL004389-RB
AAEL014080	AAEL014080-RA
AAEL023845	AAEL023845-RA
AAEL010722	AAEL010722-RB
AAEL018695	AAEL018695-RB
AAEL008617	AAEL008617-RB
AAEL022467	AAEL022467-RA
AAEL010513	AAEL010513-RC
AAEL012825	AAEL012825-RA
AAEL012827	AAEL012827-RA
AAEL000079	AAEL000079-RB
AAEL000024	AAEL000024-RA
AAEL002169	AAEL002169-RB
AAEL019387	AAEL019387-RA
AAEL028675	AAEL028675-RA
AAEL019388	AAEL019388-RA
AAEL002137	AAEL002137-RD
AAEL002173	AAEL002173-RB
AAEL019706	AAEL019706-RA
AAEL023754	AAEL023754-RA
AAEL027261	AAEL027261-RD
AAEL005422	AAEL005422-RA
AAEL005401	AAEL005401-RB
AAEL005411	AAEL005411-RC
AAEL005410	AAEL005410-RA
AAEL005400	AAEL005400-RN
AAEL022233	AAEL022233-RA
AAEL005426	AAEL005426-RA
AAEL005425	AAEL005425-RB
AAEL003762	AAEL003762-RB
AAEL003768	AAEL003768-RB
AAEL003746	AAEL003746-RA
AAEL019607	AAEL019607-RA
AAEL025824	AAEL025824-RA
AAEL019437	AAEL019437-RB
AAEL003909	AAEL003909-RA
AAEL003911	AAEL003911-RB
AAEL003918	AAEL003918-RB
AAEL024181	AAEL024181-RA
AAEL002175	AAEL002175-RA
AAEL028130	AAEL028130-RA
AAEL025250	AAEL025250-RA
AAEL002879	AAEL002879-RQ
AAEL002879	AAEL002879-RV
AAEL025032	AAEL025032-RA
AAEL002859	AAEL002859-RB
AAEL007385	AAEL007385-RC
AAEL020340	AAEL020340-RC
AAEL014655	AAEL014655-RB
AAEL002951	AAEL002951-RA
AAEL020106	AAEL020106-RA
AAEL027938	AAEL027938-RE
AAEL027496	AAEL027496-RA
AAEL018289	AAEL018289-RC
AAEL004303	AAEL004303-RB
AAEL004275	AAEL004275-RA
AAEL010626	AAEL010626-RA
AAEL006116	AAEL006116-RB
AAEL006114	AAEL006114-RB
AAEL017391	AAEL017391-RA
AAEL007209	AAEL007209-RA
AAEL010406	AAEL010406-RB
AAEL010403	AAEL010403-RB
AAEL010402	AAEL010402-RA
AAEL010411	AAEL010411-RC
AAEL012105	AAEL012105-RA
AAEL022951	AAEL022951-RA
AAEL019844	AAEL019844-RB
AAEL012062	AAEL012062-RJ
AAEL019513	AAEL019513-RH
AAEL019446	AAEL019446-RA
AAEL007343	AAEL007343-RA
AAEL023695	AAEL023695-RA
AAEL014511	AAEL014511-RB
AAEL014176	AAEL014176-RB
AAEL009759	AAEL009759-RA
AAEL029003	AAEL029003-RA
AAEL020508	AAEL020508-RA
AAEL003163	AAEL003163-RB
AAEL022743	AAEL022743-RA
AAEL013758	AAEL013758-RA
AAEL020321	AAEL020321-RA
AAEL025745	AAEL025745-RA
AAEL014816	AAEL014816-RA
AAEL014344	AAEL014344-RA
AAEL026260	AAEL026260-RB
AAEL021067	AAEL021067-RA
AAEL013086	AAEL013086-RA
AAEL020631	AAEL020631-RA
AAEL001086	AAEL001086-RB
AAEL021491	AAEL021491-RA
AAEL019983	AAEL019983-RA
AAEL012397	AAEL012397-RA
AAEL022282	AAEL022282-RA
AAEL012388	AAEL012388-RB
AAEL019848	AAEL019848-RA
AAEL012583	AAEL012583-RB
AAEL011972	AAEL011972-RA
AAEL014965	AAEL014965-RG
AAEL004881	AAEL004881-RB
AAEL023022	AAEL023022-RA
AAEL004875	AAEL004875-RA
AAEL004865	AAEL004865-RA
AAEL020325	AAEL020325-RA
AAEL024396	AAEL024396-RA
AAEL007835	AAEL007835-RA
AAEL018249	AAEL018249-RB
AAEL028657	AAEL028657-RA
AAEL003275	AAEL003275-RA
AAEL019685	AAEL019685-RE
AAEL003213	AAEL003213-RB
AAEL003283	AAEL003283-RB
AAEL021728	AAEL021728-RB
AAEL009070	AAEL009070-RB
AAEL021692	AAEL021692-RA
AAEL009072	AAEL009072-RA
AAEL012552	AAEL012552-RA
AAEL027742	AAEL027742-RA
AAEL005052	AAEL005052-RA
AAEL025321	AAEL025321-RA
AAEL005069	AAEL005069-RA
AAEL027427	AAEL027427-RA
AAEL024158	AAEL024158-RA
AAEL025256	AAEL025256-RA
AAEL001091	AAEL001091-RA
AAEL021376	AAEL021376-RA
AAEL001098	AAEL001098-RA
AAEL001061	AAEL001061-RB
AAEL001061	AAEL001061-RC
AAEL001062	AAEL001062-RB
AAEL010596	AAEL010596-RA
AAEL010576	AAEL010576-RT
AAEL015139	AAEL015139-RA
AAEL012347	AAEL012347-RA
AAEL012340	AAEL012340-RA
AAEL028015	AAEL028015-RA
AAEL003742	AAEL003742-RA
AAEL025958	AAEL025958-RA
AAEL019426	AAEL019426-RA
AAEL028025	AAEL028025-RA
AAEL019525	AAEL019525-RA
AAEL019733	AAEL019733-RE
AAEL002791	AAEL002791-RA
AAEL022535	AAEL022535-RB
AAEL004631	AAEL004631-RA
AAEL004623	AAEL004623-RB
AAEL023895	AAEL023895-RC
AAEL028967	AAEL028967-RA
AAEL028794	AAEL028794-RA
AAEL028188	AAEL028188-RB
AAEL014717	AAEL014717-RA
AAEL014361	AAEL014361-RA
AAEL021625	AAEL021625-RA
AAEL009919	AAEL009919-RA
AAEL022117	AAEL022117-RA
AAEL028887	AAEL028887-RA
AAEL009950	AAEL009950-RB
AAEL005281	AAEL005281-RA
AAEL020033	AAEL020033-RF
AAEL013075	AAEL013075-RB
AAEL013078	AAEL013078-RC
AAEL005266	AAEL005266-RD
AAEL020559	AAEL020559-RE
AAEL024179	AAEL024179-RB
AAEL011201	AAEL011201-RB
AAEL020619	AAEL020619-RA
AAEL023728	AAEL023728-RA
AAEL021467	AAEL021467-RC
AAEL024749	AAEL024749-RA
AAEL011202	AAEL011202-RB
AAEL027002	AAEL027002-RB
AAEL011197	AAEL011197-RC
AAEL014749	AAEL014749-RA
AAEL024519	AAEL024519-RA
AAEL022024	AAEL022024-RA
AAEL019626	AAEL019626-RA
AAEL012740	AAEL012740-RA
AAEL025553	AAEL025553-RA
AAEL026894	AAEL026894-RA
AAEL019481	AAEL019481-RI
AAEL021973	AAEL021973-RA
AAEL019656	AAEL019656-RD
AAEL024438	AAEL024438-RB
AAEL026472	AAEL026472-RA
AAEL027294	AAEL027294-RA
AAEL007619	AAEL007619-RC
AAEL023603	AAEL023603-RA
AAEL010205	AAEL010205-RC
AAEL019900	AAEL019900-RB
AAEL019425	AAEL019425-RA
AAEL012430	AAEL012430-RA
AAEL007465	AAEL007465-RC
AAEL023976	AAEL023976-RA
AAEL005629	AAEL005629-RA
AAEL005626	AAEL005626-RB
AAEL022025	AAEL022025-RA
AAEL005630	AAEL005630-RA
AAEL009763	AAEL009763-RB
AAEL007667	AAEL007667-RA
AAEL027760	AAEL027760-RA
AAEL007664	AAEL007664-RB
AAEL023367	AAEL023367-RA
AAEL020958	AAEL020958-RA
AAEL024184	AAEL024184-RA
AAEL008029	AAEL008029-RA
AAEL008025	AAEL008025-RA
AAEL008027	AAEL008027-RD
AAEL006825	AAEL006825-RB
AAEL006819	AAEL006819-RA
AAEL006820	AAEL006820-RA
AAEL006829	AAEL006829-RA
AAEL025894	AAEL025894-RA
AAEL008462	AAEL008462-RA
AAEL022106	AAEL022106-RB
AAEL008463	AAEL008463-RA
AAEL010850	AAEL010850-RC
AAEL026133	AAEL026133-RA
AAEL024441	AAEL024441-RA
AAEL009324	AAEL009324-RA
AAEL009326	AAEL009326-RB
AAEL026677	AAEL026677-RA
AAEL009327	AAEL009327-RA
AAEL009463	AAEL009463-RB
AAEL019737	AAEL019737-RC
AAEL026323	AAEL026323-RA
AAEL002084	AAEL002084-RB
AAEL026394	AAEL026394-RA
AAEL025438	AAEL025438-RA
AAEL026486	AAEL026486-RA
AAEL025503	AAEL025503-RA
AAEL025656	AAEL025656-RB
AAEL009645	AAEL009645-RC
AAEL007268	AAEL007268-RB
AAEL020162	AAEL020162-RB
AAEL020238	AAEL020238-RA
AAEL007915	AAEL007915-RD
AAEL008542	AAEL008542-RF
AAEL027239	AAEL027239-RA
AAEL008521	AAEL008521-RA
AAEL022680	AAEL022680-RA
AAEL000249	AAEL000249-RD
AAEL020542	AAEL020542-RA
AAEL003883	AAEL003883-RB
AAEL020614	AAEL020614-RA
AAEL009777	AAEL009777-RA
AAEL009772	AAEL009772-RC
AAEL020075	AAEL020075-RA
AAEL024849	AAEL024849-RG
AAEL024258	AAEL024258-RA
AAEL019943	AAEL019943-RB
AAEL003582	AAEL003582-RA
AAEL019997	AAEL019997-RC
AAEL019586	AAEL019586-RA
AAEL019980	AAEL019980-RA
AAEL028245	AAEL028245-RA
AAEL015180	AAEL015180-RB
AAEL013887	AAEL013887-RA
AAEL014248	AAEL014248-RA
AAEL019976	AAEL019976-RA
AAEL012466	AAEL012466-RC
AAEL023028	AAEL023028-RA
AAEL028155	AAEL028155-RA
AAEL021342	AAEL021342-RA
AAEL008020	AAEL008020-RA
AAEL008015	AAEL008015-RA
AAEL012258	AAEL012258-RA
AAEL008909	AAEL008909-RB
AAEL021556	AAEL021556-RF
AAEL017005	AAEL017005-RC
AAEL005440	AAEL005440-RE
AAEL005437	AAEL005437-RA
AAEL024417	AAEL024417-RA
AAEL008960	AAEL008960-RA
AAEL008958	AAEL008958-RB
AAEL008953	AAEL008953-RE
AAEL008956	AAEL008956-RB
AAEL008941	AAEL008941-RD
AAEL021626	AAEL021626-RA
AAEL022137	AAEL022137-RA
AAEL027712	AAEL027712-RA
AAEL019549	AAEL019549-RF
AAEL008350	AAEL008350-RA
AAEL023304	AAEL023304-RA
AAEL006824	AAEL006824-RA
AAEL027941	AAEL027941-RA
AAEL002932	AAEL002932-RB
AAEL028783	AAEL028783-RA
AAEL005515	AAEL005515-RJ
AAEL005528	AAEL005528-RA
AAEL005528	AAEL005528-RB
AAEL022080	AAEL022080-RA
AAEL002534	AAEL002534-RA
AAEL002518	AAEL002518-RB
AAEL021554	AAEL021554-RE
AAEL005524	AAEL005524-RB
AAEL002501	AAEL002501-RA
AAEL019422	AAEL019422-RA
AAEL002527	AAEL002527-RB
AAEL023574	AAEL023574-RF
AAEL025729	AAEL025729-RA
AAEL020572	AAEL020572-RA
AAEL009873	AAEL009873-RB
AAEL009876	AAEL009876-RA
AAEL009872	AAEL009872-RA
AAEL009869	AAEL009869-RB
AAEL009878	AAEL009878-RA
AAEL009874	AAEL009874-RH
AAEL009653	AAEL009653-RA
AAEL008397	AAEL008397-RA
AAEL026763	AAEL026763-RA
AAEL008306	AAEL008306-RB
AAEL023258	AAEL023258-RA
AAEL009475	AAEL009475-RB
AAEL009486	AAEL009486-RA
AAEL009487	AAEL009487-RA
AAEL002455	AAEL002455-RB
AAEL023223	AAEL023223-RB
AAEL002435	AAEL002435-RD
AAEL002438	AAEL002438-RB
AAEL002451	AAEL002451-RB
AAEL005526	AAEL005526-RE
AAEL016200	AAEL016200-RA
AAEL028714	AAEL028714-RA
AAEL013853	AAEL013853-RC
AAEL000984	AAEL000984-RB
AAEL018267	AAEL018267-RB
AAEL025320	AAEL025320-RA
AAEL013994	AAEL013994-RA
AAEL012313	AAEL012313-RB
AAEL012312	AAEL012312-RA
AAEL014804	AAEL014804-RB
AAEL013596	AAEL013596-RD
AAEL000993	AAEL000993-RB
AAEL019694	AAEL019694-RA
AAEL014843	AAEL014843-RB
AAEL011708	AAEL011708-RA
AAEL000987	AAEL000987-RA
AAEL000994	AAEL000994-RI
AAEL012835	AAEL012835-RE
